a,diameter,rot_per
3.35886919276814,115.53,8.824
3.1681071,125.57,12.3
2.88635509897458,134.19,7.113
2.5451227,47.27,9.8007
2.6501035273926,116.76,27.33
3.014677,79.46,16.105
2.7194949,72.98,9.4277
2.6443657,56.22,16.19
2.9968887,46.57,18.
3.4222929,69.37,12.727
2.6669542,31.61,10.63
2.7503131,63.88,17.59
2.3516812,21.85,65.90
2.6724061,63.15,13.28
3.15795993087527,150.13,19.26
3.15300051820829,139.39,9.02
3.1690802,115.55,7.930
3.1890157,97.29,14.87
3.1189704,51.69,6.488
2.9889125,85.52,5.57
2.4874058,38.85,29.2
2.6502889,81.83,20.
4.009533,81.38,13.48
2.3826438,15.98,10.5
2.7243734,81.68,38.7
2.7210863,30.02,24.06
2.68543784207032,115,8.1789
3.0395924,105.94,10.599
3.156126,43.78,4.705
3.15986522374845,142.35,52.8
3.0646238,52.99,12.306
2.6100254,57.44,19.4
3.165652182294,326.06,5.1294
2.1895715,23.09,5.585
3.0191088,50.15,5.23
3.04607798716713,106.17,21.874
2.6800851,73.10,7.49
3.1475676,91.12,9.274
2.7897515,48.25,17.962
3.0058861,28.67,14.0
3.63118308693936,101.22,8.126
2.9657945,31.89,10.03
2.63498775381888,71.73,14.195
3.1172983,41.49,9.474
3.395492,83.42,7.337
3.0160879,32.01,27.
3.1830666,84.85,19.947
2.7837217,15.19,12.
2.77174766192108,222.39,9.405
2.8836628,33.12,9.47
2.5690957,74.49,10.2482
3.50441786440237,151.42,8.78
3.070258,39.11,16.250
2.7373392,53.97,13.903
2.2193496,19.02,9.336
2.9053884,41.57,10.0747
3.0587195,34.37,10.718
2.5903646,24.58,7.745
3.2012688,111.29,7.2
2.7721612,69.68,9.105
2.6823482,18.81,5.938
2.5883482,37.75,20.555
2.9646377,78.46,13.05
2.37394541361567,95.87,13.63
2.4648608,37.81,4.293
2.9065928,59.31,11.387
2.71246230590955,79.82,10.061
2.7117465,53.29,5.69
2.7515884,49.57,8.882
2.4439966,27.57,4.587
2.6565409,72.95,13.154
3.4194064,102.81,8.120
2.4003111,29.63,5.65
3.011647,48.00,7.165
2.5558178,21.26,3.678
2.9819887,84.68,8.192
2.75132661215603,69.29,10.00
3.0103559,85.57,16.5
3.236723,45.79,9.473
3.2165584,63.66,16.54
2.6092374,43.41,36.0
3.1700448,81.64,9.210
2.37508208237291,54.01,5.0689
2.4300208,58.09,6.442
3.0421828,82.37,10.630
3.0007641,39.87,5.562
2.6815225,51.86,7.35
2.6971084,75.32,9.899
2.6306468,9.23,4.966
3.208998,109.07,11.806
2.9258665,113.34,15.848
2.6718089,36.06,11.496
2.7706553,64.87,9.566
2.6596177,24.90,5.886
3.1425588,65.16,5.5596
2.9978119,69.86,15.855
2.8527108,62.78,7.344
2.979896,56.97,10.80
2.6967007,25.81,4.572
2.5533181,18.15,5.301
5.22569333211203,225,6.921
2.64523,28.37,21.101
2.573673,100.73,19.39
2.581206,49.72,16.135
2.6229013,17.21,79.18
2.790492,57.65,5.923
3.042478,69.44,11.803
2.9074208,74.29,14.603
2.7325522,65.44,9.875
3.0202225,71.25,6.22
3.1572748,80.79,7.768
3.1958231,33.36,8.231
3.3575638,71.57,14.171
3.2031525,28.00,32.6
3.0235276,33.04,20.287
3.0137065,39.22,14.14
2.29655776848835,127.40,31.9
3.146848,53.17,7.035
2.6110329,42.52,15.7
5.1950342,108.87,15.1
