NAME,A,PER,R,MASS
Kepler-1047 c,0.0435026,3.18897601,0.088,0.00277643
Kepler-1247 b,0.106621,13.71220213,0.208,0.0178026
Kepler-1210 b,0.0771394,8.07124073,0.152,0.0125983
Kepler-254 c,0.104915,12.412183,0.19181,0.0160511
Kepler-236 c,0.162691,23.968127,0.178428,0.0147725
WASP-25 b,0.0473714,3.764825,1.22,0.57847
Kepler-186 d,0.0860831,13.342996,0.12479,0.00934866
Kepler-1646 b,0.0330793,4.48558383,0.11,0.00609283
Kepler-359 c,0.292189,57.68802,0.38362,0.0607789
Kepler-211 c,0.0649112,6.04045,0.115086,0.00711292
Kepler-967 b,0.103279,13.22713379,0.21,0.0180364
Kepler-1574 b,0.0726189,6.9424334,0.115,0.00709482
Kepler-1157 b,0.0483728,4.45743164,0.097,0.00392895
Kepler-549 b,0.230006,42.9495649,0.229,0.020474
Kepler-1510 b,0.399998,84.703921,0.3,0.0340314
Kepler-1002 b,0.0556094,4.33642933,0.153,0.0126737
Kepler-294 c,0.0690438,6.6264,0.24177,0.0223552
Kepler-263 c,0.256083,47.332773,0.220359,0.019315
Kepler-349 b,0.0641159,5.929778,0.169507,0.0139923
Kepler-1563 b,0.0445351,3.43276598,0.067,0.00105753
Kepler-1611 b,0.0573666,5.1762429,0.072,0.00136198
Kepler-1284 b,0.0140554,0.66407381,0.108,0.00571923
Kepler-706 b,0.223617,41.40831347,1.175,1
Kepler-1177 b,0.436075,106.247547,0.17,0.014034
Kepler-1364 b,0.125617,13.32196237,0.192,0.0160703
Kepler-653 b,0.118258,14.70748976,0.174,0.0143786
Kepler-553 b,0.0482066,4.03046804,0.413,0.0707577
Kepler-361 b,0.081426,8.486616,0.12936,0.010538
Kepler-318 c,0.101523,11.815007,0.328308,0.0419521
Kepler-372 b,0.0705863,6.849692,0.121331,0.00850717
Kepler-197 e,0.168262,25.209715,0.0811848,0.00208313
Kepler-405 c,0.187804,29.726682,0.415737,0.071727
Kepler-104 d,0.271796,51.755394,0.319386,0.0392746
Kepler-702 b,0.0907551,10.52629406,0.818,0.531485
Kepler-26 d,0.0454914,3.543919,0.095459,0.00371234
Kepler-159 b,0.0916828,10.139623,0.212329,0.0183139
Kepler-1045 b,0.165053,26.41045478,0.24,0.0220818
Kepler-905 b,0.0568739,5.08274652,0.126,0.00965491
Kepler-763 b,0.0208123,1.19655156,0.109,0.00590412
Kepler-1376 b,0.059158,5.30880656,0.094,0.00351465
Kepler-32 f,0.0130732,0.74296,0.0730903,0.00143611
WASP-103 b,0.0198682,0.925542,1.528,1.48791
Kepler-990 c,0.0131638,0.53835431,0.136,0.0124263
Kepler-221 e,0.136253,18.369917,0.234633,0.0212781
Kepler-1028 b,0.0349411,2.51462432,0.119,0.00796813
Kepler-256 c,0.0441473,3.38802,0.19181,0.0160511
Kepler-1333 b,0.439185,109.6471842,0.251,0.0238504
Kepler-276 b,0.114376,14.12841,0.256044,0.0247188
Kepler-1042 b,0.0832577,10.13202575,0.195,0.0163773
Kepler-264 c,0.52792,140.101261,0.252476,0.0241007
Kepler-143 b,0.124306,16.007583,0.215006,0.0186399
Kepler-1225 b,0.0746694,7.01075434,0.162,0.0133743
Kepler-189 c,0.144846,20.134866,0.212329,0.0183139
Kepler-62 b,0.0552794,5.714932,0.116766,0
Kepler-281 b,0.117153,14.646008,0.251584,0.0239491
Kepler-1006 b,0.13168,19.76172042,0.137,0.0115145
Kepler-196 c,0.256426,47.427737,0.199839,0.0168894
Kepler-238 c,0.0657332,6.155557,0.213222,0.0184218
Kepler-49 c,0.07889,10.9129343,0.227293,0.0202381
Kepler-55 c,0.202122,42.1516418,0.196987,0.016585
Kepler-791 b,0.127324,14.5539759,0.272,0.0277215
WASP-19 b,0.0163152,0.78884,1.386,1.13339
Kepler-310 d,0.401368,92.876125,0.220359,0.019315
Kepler-619 c,0.022851,1.20846503,0.151,0.0125233
Kepler-204 c,0.170262,25.660593,0.159693,0.0131908
Kepler-26 b,0.0902469,12.282356,0.320884,0.0397121
Kepler-374 c,0.0432285,3.282807,0.0981354,0.00409374
Kepler-395 b,0.0719854,7.054346,0.0918904,0.00324127
Kepler-875 b,0.181834,27.5073799,0.259,0.0252452
Kepler-1508 b,0.154158,20.7056504,0.119,0.00796813
Kepler-1568 b,0.152944,20.925392,0.116,0.00730709
Kepler-80 e,0.0544864,4.645387,0.146311,0.0121773
Kepler-83 d,0.0585134,5.169796,0.173075,0.014298
Kepler-519 b,0.157968,24.3078946,0.187,0.0155754
Kepler-192 d,0,6.47027579,0.091,0.00313024
Kepler-167 b,0.0481157,4.393147,0.12936,0.010538
Kepler-772 b,0.107432,12.99207337,0.162,0.0133743
Kepler-295 d,0.204929,33.884054,0.121331,0.00850717
Kepler-337 b,0.043316,3.292781,0.13739,0.0115417
Kepler-516 b,0.195757,24.85462415,0.512,0.110157
Kepler-1562 b,0.316103,64.2737752,0.317,0.0385876
Kepler-226 d,0.0789926,8.109044,0.108841,0.00587447
Kepler-386 b,0.104341,12.31043,0.124008,0.00915403
Kepler-922 b,0.0184414,0.93846683,0.127,0.00991268
Kepler-363 c,0.0752686,7.542427,0.150772,0.0125062
Kepler-687 b,0.134386,20.50586978,0.314,0.0377408
Kepler-1457 b,0.270431,51.1110243,0.178,0.0147338
Kepler-567 b,0.119888,16.54297375,0.201,0.0170154
Kepler-1453 b,0.252883,47.1611696,0.238,0.021778
Kepler-24 d,0.0513038,4.244384,0.148987,0.0123736
Kepler-980 b,0.101644,11.55102504,0.238,0.021778
Kepler-472 b,0.048077,4.17625551,0.287,0.0309268
Kepler-402 c,0.0655142,6.124821,0.139174,0.0116666
Kepler-435 b,0.0948432,8.6001536,1.99,0.84
WASP-18 b,0.0201401,0.9414529,1.267,10.2006
CoRoT-6 b,0.0854177,8.886593,1.166,2.95364
Kepler-127 c,0.186396,29.393195,0.237309,0.0216742
