full_name,a,year
"       (1999 RY214)",44.88140723198593,1999
"       (1999 RZ214)",84.13587354557217,1999
"       (1999 RB215)",47.30723577163257,1999
"       (1999 RC215)",43.85331833277194,1999
"       (1999 RF215)",43.96542133014261,1999
"       (1999 RG215)",46.26351603254844,1999
"       (1999 RJ215)",58.88438501783313,1999
"       (1999 RK215)",39.23903724422425,1999
"       (1999 RR215)",44.44154674432114,1999
"       (1999 RT215)",43.09062676448429,1999
"       (1999 RV215)",44.38485311750219,1999
"       (1999 RW215)",36.18905007047123,1999
"       (1999 RX215)",46.85097226273911,1999
"       (1999 RC216)",44.4047909764059,1999
"       (1999 RK257)",43.1917258147322,1999
"       (1999 SA28)",39.22769751083364,1999
"       (1999 TR11)",39.29559297503327,1999
"       (1999 XY143)",42.90959938111094,1999
"       (2000 AB229)",52.89856645162197,2000
"       (2000 AB255)",43.08510112362789,2000
"       (2000 AC255)",46.8073202962192,2000
"       (2000 AD255)",42.17473599899211,2000
"       (2000 AE255)",44.05481507515466,2000
"       (2000 AF255)",48.6119783960953,2000
"       (2000 CL104)",44.63325331080821,2000
"       (2000 CM104)",42.588487097513,2000
"       (2000 CN104)",42.93108730765831,2000
"       (2000 CP104)",44.49447201049323,2000
"       (2000 CQ104)",36.78441264585808,2000
"       (2000 CE105)",43.9203047237031,2000
"       (2000 CF105)",43.94590821320106,2000
"       (2000 CG105)",46.4793350405357,2000
"       (2000 CJ105)",44.37295593654936,2000
"       (2000 CK105)",39.50607078684923,2000
"       (2000 CL105)",43.15891605802007,2000
"       (2000 CN105)",44.72727507644994,2000
"       (2000 CO105)",47.09811393929726,2000
"       (2000 CP105)",83.18304522065266,2000
"       (2000 CQ105)",57.44046768277713,2000
"       (2000 CS105)",44.71834200689644,2000
"       (2000 CY105)",45.53622016004518,2000
"       (2000 CN114)",44.08567161973735,2000
"       (2000 CO114)",46.14474361881783,2000
"       (2000 CP114)",39.47834279882658,2000
"       (2000 CQ114)",46.30938844524696,2000
"       (2000 FB8)",39.47610044642597,2000
"       (2000 FC8)",44.22914442602554,2000
"       (2000 FF8)",45.44574803213243,2000
"       (2000 FG8)",44.24731200231075,2000
"       (2000 FH8)",43.78873001901389,2000
"       (2000 FR53)",44.81931928139242,2000
"       (2000 FS53)",43.37432778383098,2000
"       (2000 FT53)",45.48895008782824,2000
"       (2000 FU53)",42.39320091291974,2000
"       (2000 FV53)",39.48177400546471,2000
"       (2000 FW53)",47.20125348554338,2000
"       (2000 FX53)",43.91178594415393,2000
"       (2000 FY53)",39.29918456779163,2000
"       (2000 GV146)",44.3837536266804,2000
"       (2000 GW146)",41.20826733319613,2000
"       (2000 GX146)",44.40648103610172,2000
"       (2000 GY146)",44.27438737146567,2000
"       (2000 GZ146)",43.87867052650474,2000
"       (2000 GF147)",42.08089209999999,2000
"       (2000 GK147)",57.34566014040042,2000
"       (2000 GL147)",39.33415637918046,2000
"       (2000 GM147)",39.58318930180943,2000
"       (2000 JF81)",46.44775969355343,2000
"       (2000 JH81)",46.23012239012654,2000
"       (2000 KK4)",41.48343111898523,2000
"       (2000 KL4)",38.78375024181003,2000
"       (2000 KP65)",90.00847490229748,2000
"       (2000 OB51)",37.7526225287545,2000
"       (2000 OH67)",44.09986165246999,2000
"       (2000 ON67)",42.85889291545961,2000
"       (2000 OP67)",43.61815590400398,2000
"       (2000 OU69)",43.18774684178292,2000
"       (2000 PU29)",42.46298996361494,2000
"       (2000 PW29)",44.18676610812484,2000
"       (2000 PX29)",42.56913562347914,2000
"       (2000 PY29)",44.18103714514986,2000
"       (2000 PZ29)",44.89878014317019,2000
"       (2000 PA30)",46.99500827845895,2000
"       (2000 PB30)",42.49706440008266,2000
"       (2000 PC30)",43.01054809767165,2000
"       (2000 PD30)",46.46544383602659,2000
"       (2000 PF30)",76.70079894779518,2000
"       (2000 PG30)",45.11628120082975,2000
"       (2000 PH30)",76.59156525917474,2000
"       (2000 PL30)",41.97978124725345,2000
"       (2000 PM30)",43.95721651777007,2000
"       (2000 PN30)",44.76932189009395,2000
"       (2000 PQ30)",41.67819247507781,2000
"       (2000 PR30)",42.32524133723525,2000
"       (2000 PS30)",64.45572508578842,2000
"       (2000 QB226)",45.64140551957929,2000
"       (2000 QC226)",43.97174189012826,2000
